#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         503   0.0981534   0.0931575 0.000296922
         504   0.0981368   0.0931674 0.000296497
         505    0.098106   0.0931772 0.000296071
         506   0.0980626   0.0931868 0.000295643
         507   0.0980112   0.0931964 0.000295213
         508    0.097955   0.0932057 0.000294781
         509   0.0978957   0.0932149 0.000294345
         510   0.0978373    0.093224 0.000293908
         511   0.0977819   0.0932329 0.000293468
         512   0.0977323   0.0932417 0.000293026
         513   0.0976908   0.0932504 0.000292583
         514   0.0976592    0.093259  0.00029214
         515   0.0976393   0.0932675 0.000291696
         516   0.0976324   0.0932759 0.000291254
         517   0.0976391   0.0932844 0.000290813
         518   0.0976601   0.0932928 0.000290374
         519   0.0976959   0.0933013 0.000289938
         520   0.0977458   0.0933098 0.000289507
         521   0.0978091   0.0933185  0.00028908
         522   0.0978854   0.0933272 0.000288658
         523   0.0979728   0.0933361 0.000288243
         524   0.0980697   0.0933451 0.000287835
         525   0.0981736   0.0933543 0.000287433
         526   0.0982827   0.0933637 0.000287039
         527   0.0983944   0.0933733 0.000286653
         528   0.0985059    0.093383 0.000286275
         529   0.0986146   0.0933929 0.000285905
         530   0.0987173   0.0934029 0.000285542
         531   0.0988108   0.0934131 0.000285186
         532   0.0988925   0.0934234 0.000284836
         533   0.0989597   0.0934338 0.000284491
         534   0.0990097   0.0934442 0.000284149
         535   0.0990397   0.0934547 0.000283811
         536    0.099048   0.0934651 0.000283473
         537   0.0990325   0.0934755 0.000283135
         538   0.0989909   0.0934857 0.000282794
         539   0.0989222   0.0934958 0.000282449
         540   0.0988258   0.0935057 0.000282098
         541   0.0987009   0.0935153  0.00028174
         542   0.0985477   0.0935246 0.000281373
         543    0.098366   0.0935335 0.000280996
         544    0.098156    0.093542 0.000280608
         545   0.0979193     0.09355 0.000280208
         546   0.0976573   0.0935575 0.000279796
         547   0.0973717   0.0935645 0.000279372
         548   0.0970634   0.0935709 0.000278935
         549    0.096735   0.0935767 0.000278486
         550   0.0963889   0.0935818 0.000278027
         551   0.0960271   0.0935862 0.000277558
         552   0.0956518     0.09359  0.00027708
         553   0.0952656    0.093593 0.000276595
         554   0.0948707   0.0935953 0.000276106
         555   0.0944694   0.0935969 0.000275613
         556   0.0940637   0.0935977 0.000275118
         557   0.0936565   0.0935978 0.000274624
         558   0.0932496   0.0935972 0.000274133
         559   0.0928448   0.0935958 0.000273646
         560   0.0924447   0.0935938 0.000273165
         561     0.09205    0.093591 0.000272692
         562   0.0916629   0.0935876 0.000272228
         563   0.0912849   0.0935835 0.000271776
         564   0.0909168   0.0935788 0.000271335
         565   0.0905608   0.0935734 0.000270907
         566   0.0902175   0.0935675 0.000270493
         567   0.0898876    0.093561 0.000270094
         568   0.0895733    0.093554  0.00026971
         569    0.089274   0.0935465 0.000269341
         570   0.0889909   0.0935385 0.000268987
         571   0.0887245   0.0935301 0.000268648
         572   0.0884763   0.0935212 0.000268323
         573   0.0882465    0.093512 0.000268013
         574   0.0880344   0.0935025 0.000267716
         575    0.087842   0.0934926 0.000267431
         576   0.0876692   0.0934825 0.000267158
         577   0.0875162   0.0934722 0.000266895
         578   0.0873836   0.0934617 0.000266641
         579   0.0872722    0.093451 0.000266395
         580   0.0871817   0.0934402 0.000266155
         581   0.0871124   0.0934293 0.000265919
         582   0.0870649   0.0934183 0.000265687
         583   0.0870398   0.0934074 0.000265456
         584   0.0870371   0.0933965 0.000265226
         585   0.0870572   0.0933856 0.000264994
         586   0.0871004   0.0933749 0.000264759
         587   0.0871666   0.0933643 0.000264519
         588   0.0872568    0.093354 0.000264273
         589   0.0873718   0.0933438 0.000264019
         590    0.087511   0.0933339 0.000263757
         591   0.0876749   0.0933243 0.000263484
         592   0.0878644   0.0933151   0.0002632
         593   0.0880801   0.0933063 0.000262905
         594   0.0883213   0.0932979 0.000262596
         595   0.0885888     0.09329 0.000262274
         596   0.0888833   0.0932826 0.000261938
         597   0.0892051   0.0932758 0.000261588
         598   0.0895542   0.0932695 0.000261225
         599    0.089931    0.093264 0.000260848
         600   0.0903357   0.0932591 0.000260459
         601   0.0907684   0.0932549 0.000260059
         602   0.0912292   0.0932516 0.000259648
         603   0.0917185    0.093249  0.00025923
         604   0.0922357   0.0932473 0.000258807
         605   0.0927811   0.0932466  0.00025838
         606    0.093354   0.0932468 0.000257954
         607   0.0939543   0.0932479 0.000257531
         608   0.0945804   0.0932501 0.000257117
         609   0.0952326   0.0932534 0.000256715
         610   0.0959088   0.0932577 0.000256331
         611   0.0966081   0.0932632 0.000255971
         612   0.0973285   0.0932698 0.000255639
         613   0.0980676   0.0932777 0.000255341
         614   0.0988249   0.0932867 0.000255085
         615   0.0995961    0.093297 0.000254877
         616     0.10038   0.0933085 0.000254722
         617    0.101171   0.0933212 0.000254628
         618    0.101968   0.0933352   0.0002546
         619    0.102766   0.0933504 0.000254644
         620    0.103562   0.0933669 0.000254765
         621     0.10435   0.0933846 0.000254968
         622    0.105126   0.0934035 0.000255256
         623    0.105885   0.0934235 0.000255632
         624    0.106621   0.0934447 0.000256095
         625    0.107331   0.0934669 0.000256648
         626    0.108009   0.0934901 0.000257287
         627     0.10865   0.0935143  0.00025801
         628    0.109248   0.0935393 0.000258813
         629    0.109799   0.0935652 0.000259689
         630    0.110299   0.0935917 0.000260632
         631    0.110743   0.0936189 0.000261632
         632    0.111129   0.0936466 0.000262681
         633    0.111451   0.0936748 0.000263768
         634    0.111708   0.0937032 0.000264881
         635    0.111898   0.0937319 0.000266009
         636     0.11202   0.0937606  0.00026714
         637    0.112072   0.0937894 0.000268263
         638    0.112054    0.093818 0.000269366
         639    0.111968   0.0938464 0.000270438
         640    0.111815   0.0938745 0.000271469
         641    0.111596   0.0939021  0.00027245
         642    0.111313   0.0939292 0.000273372
         643    0.110971   0.0939557 0.000274228
         644    0.110572   0.0939815 0.000275014
         645    0.110121   0.0940066 0.000275723
         646     0.10962   0.0940307 0.000276354
         647    0.109075    0.094054 0.000276903
         648    0.108491   0.0940763 0.000277371
         649    0.107871   0.0940975 0.000277756
         650    0.107222   0.0941177 0.000278062
         651    0.106546   0.0941368 0.000278289
         652     0.10585   0.0941548 0.000278442
         653    0.105138   0.0941716 0.000278523
         654    0.104413   0.0941872 0.000278537
         655    0.103681   0.0942017 0.000278489
         656    0.102946   0.0942151 0.000278383
         657     0.10221   0.0942272 0.000278225
         658    0.101479   0.0942383  0.00027802
         659    0.100754   0.0942481 0.000277774
         660    0.100039   0.0942569 0.000277492
         661   0.0993378   0.0942646 0.000277179
         662   0.0986512   0.0942712 0.000276839
         663   0.0979821   0.0942768 0.000276478
         664   0.0973314   0.0942814   0.0002761
         665   0.0967026   0.0942851 0.000275709
         666   0.0960965   0.0942878 0.000275308
         667   0.0955137   0.0942896 0.000274902
         668   0.0949554   0.0942906 0.000274492
         669   0.0944223   0.0942908 0.000274082
         670   0.0939158   0.0942903 0.000273673
         671   0.0934354    0.094289 0.000273268
         672   0.0929819    0.094287 0.000272869
